"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
NA;"Ace Combat: Joint Assault";"???";"Namco";"Unknown";"";"";"x"
NA;"Ace Combat: Squadron Leader";"???";"Sony, Namco";"Unknown";"";"";"x"
NA;"Ace Combat: The Belkan War";"???";"Sony, Namco";"Unknown";"";"";"x"
NA;"Ace Lightning";"???";"BBC";"Unknown";"";"x";"x"
NA;"Ace Lightning";"???";"BBC Worldwide";"Unknown";"";"x";"x"
NA;"Ace of Aces";"???";"Atari";"Atari";"";"";"x"
NA;"Aces of the Air";"???";"Agetec";"Unknown";"x";"";"x"
NA;"Aces of War";"???";"505 GameStreet";"Unknown";"";"x";"x"
NA;"Acid Drop";"???";"Salu";"Unknown";"";"x";"x"
NA;"Action 52";"???";"Active Enterprises";"Unknown";"x";"";"x"
NA;"Action 52";"???";"Active Enterprises";"FarSight";"x";"";"x"
NA;"Action Game featuring Hercules + The Jungle Book: Groove Party + A Bug's Life";"???";"Sony";"Unknown";"";"x";"x"
NA;"Action Girlz Racing";"???";"Metro 3D";"Unknown";"";"";"x"
NA;"Action Man: Action Force";"???";"Parker Brothers";"Unknown";"";"";"x"
NA;"Action Man: Alpha Teens on Machines";"???";"blast!";"Unknown";"";"x";"x"
NA;"Action Man: Robot Atak";"???";"Atari";"Unknown";"";"x";"x"
NA;"Action Man: Search for Base X";"???";"THQ, Hasbro Interactive";"Unknown";"";"";"x"
NA;"Action Pack: Brothers in Arms: D-Day + Tom Clancy's Rainbow Six: Vegas: Limited Edition";"???";"Ubisoft";"Unknown";"";"x";"x"
NA;"Action Pack: Driver 76 + Prince of Persia: Revelations: Limited Edition";"???";"Ubisoft";"Unknown";"";"x";"x"
NA;"Action Pack: Prince of Persia: Revelations + Tom Clancy's Rainbow Six: Vegas + Driver 76: Limited Edition";"???";"Ubisoft";"Unknown";"";"x";"x"
NA;"Action Pack: Shaun White Snowboarding + Prince of Persia: Rival Swords: Limited Edition";"???";"Ubisoft";"Unknown";"";"x";"x"
NA;"Action Pack: Tom Clancy's Splinter Cell: Essentials + Tom Clancy's Ghost Recon: Advanced Warfighter 2: Limited Edition";"???";"Ubisoft";"Unknown";"";"x";"x"
NA;"Activision Anthology";"???";"Activision";"Unknown";"";"";"x"
NA;"Activision Classic Games for the Atari 2600 (A Collection of...)";"???";"Activision";"Unknown";"x";"";"x"
NA;"The Activision Decathlon";"???";"Activision";"Unknown";"";"";"x"
NA;"The Addams Family";"???";"Ocean";"Ocean";"";"";"x"
NA;"The Addams Family";"???";"NEC";"Unknown";"x";"";"x"
NA;"The Addams Family: Pugsley's Scavenger Hunt";"???";"Ocean";"Enigma Variations";"";"";"x"
NA;"Advance Guardian Heroes";"???";"Ubi Soft";"Unknown";"";"";"x"
NA;"Advance Wars";"???";"Nintendo";"Unknown";"";"";"x"
NA;"Advance Wars 2: Black Hole Rising";"???";"Nintendo";"Unknown";"";"";"x"
NA;"Advanced Dungeons & Dragons";"???";"Mattel";"Unknown";"";"";"x"
NA;"Advanced Dungeons & Dragons: Treasure of Tarmin";"???";"Mattel";"Unknown";"x";"";"x"
NA;"Adventure";"???";"Atari";"Unknown";"";"";"x"
NA;"Adventure Island 3";"???";"Hudson";"Unknown";"x";"";"x"
NA;"Adventure Island II";"???";"Hudson Soft";"Hudson Soft";"";"";"x"
NA;"The Adventure of the Smurfs";"???";"Infogrames";"Infogrames";"";"x";"x"
NA;"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!";"???";"D3 Publisher";"Unknown";"x";"";"x"
NA;"Adventures of Dino Riki";"???";"Hudson";"Unknown";"x";"";"x"
NA;"The Adventures of Gilligan's Island";"???";"Bandai";"Unknown";"x";"";"x"
NA;"The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron";"???";"THQ";"Unknown";"";"";"x"
NA;"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies";"???";"THQ";"Unknown";"";"";"x"
NA;"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies";"???";"THQ";"Unknown";"";"";"x"
NA;"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion";"???";"THQ";"Unknown";"";"";"x"
